Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Staples, TL",,,,"Staples, Timothy L.",,,Expansion and evolution of the R programming language,ROYAL SOCIETY OPEN SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2054-5703,,,,,APR 12,2023,10,4,,,,,,,221550,10.1098/rsos.221550,http://dx.doi.org/10.1098/rsos.221550,,,,,,,,37063989,,,,,WOS:000969064200001,View Full Record in Web of Science
J,"Zdenek, CN; Staples, T; Hay, C; Bourke, LN; Candusso, D",,,,"Zdenek, Christina N.; Staples, Timothy; Hay, Chris; Bourke, Lachlan N.; Candusso, Damian",,,Sound garden: How snakes respond to airborne and groundborne sounds,PLOS ONE,,,,,,,,,,,,,,,,,,"Bourke, Lachlan Allan/0000-0002-9474-3192; Candusso, Damian/0000-0003-3767-5442",,,,,,,,,,,,,1932-6203,,,,,FEB 14,2023,18,2,,,,,,,e0281285,10.1371/journal.pone.0281285,http://dx.doi.org/10.1371/journal.pone.0281285,,,,,,,,36787306,,,,,WOS:000960043900001,View Full Record in Web of Science
J,"Staples, TL; Mayfield, MM; England, JR; Dwyer, JM",,,,"Staples, Timothy L.; Mayfield, Margaret M.; England, Jacqueline R.; Dwyer, John M.",,,Drivers of Acacia and Eucalyptus growth rate differ in strength and direction in restoration plantings across Australia,ECOLOGICAL APPLICATIONS,,,,,,,,,,,,,,,,,"Staples, Tim/AEI-0009-2022; Mayfield, Margaret Morrow/GLT-4023-2022; England, Jacqueline R/G-6417-2011; Mayfield, Margaret M/B-7386-2012; Dwyer, John M./O-5579-2017","England, Jacqueline R/0000-0002-3371-1509; Mayfield, Margaret M/0000-0002-5101-6542; Dwyer, John M./0000-0001-7389-5528; Staples, Timothy/0000-0002-8550-2661",,,,,,,,,,,,,1051-0761,1939-5582,,,,SEP,2022,32,6,,,,,,,e2636,10.1002/eap.2636,http://dx.doi.org/10.1002/eap.2636,,JUN 2022,,,,,,35404495,,,,,WOS:000804995400001,View Full Record in Web of Science
J,"Staples, TL; Kiessling, W; Pandolfi, JM",,,,"Staples, Timothy L.; Kiessling, Wolfgang; Pandolfi, John M.",,,Emergence patterns of locally novel plant communities driven by past climate change and modern anthropogenic impacts,ECOLOGY LETTERS,,,,,,,,,,,,,,,,,"Kiessling, Wolfgang/E-2259-2015; Staples, Tim/AEI-0009-2022; Pandolfi, John/A-3121-2009","Kiessling, Wolfgang/0000-0002-1088-2014; Staples, Timothy/0000-0002-8550-2661; Pandolfi, John/0000-0003-3047-6694",,,,,,,,,,,,,1461-023X,1461-0248,,,,JUN,2022,25,6,,,,,1497,1509,,10.1111/ele.14016,http://dx.doi.org/10.1111/ele.14016,,MAY 2022,,,,,,35545440,,,,,WOS:000793443200001,View Full Record in Web of Science
J,"Hammerman, NM; Roff, G; Rodriguez-Ramirez, A; Leonard, N; Staples, TL; Eyal, G; Rossbach, S; Havlik, MN; Saderne, V; Zhao, JX; Duarte, CM; Pandolfi, JM",,,,"Hammerman, Nicholas M.; Roff, George; Rodriguez-Ramirez, Alberto; Leonard, Nicole; Staples, Timothy L.; Eyal, Gal; Rossbach, Susann; Havlik, Michelle N.; Saderne, Vincent; Zhao, Jian-xin; Duarte, Carlos M.; Pandolfi, John M.",,,Reef accumulation is decoupled from recent degradation in the central and southern Red Sea,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,,,,,,"Staples, Tim/AEI-0009-2022; Eyal, Gal/P-7884-2019; Duarte, Carlos M/A-7670-2013","Eyal, Gal/0000-0002-3028-8653; Duarte, Carlos M/0000-0002-1213-1361; saderne, vincent/0000-0003-3968-2718; Staples, Timothy/0000-0002-8550-2661",,,,,,,,,,,,,0048-9697,1879-1026,,,,FEB 25,2022,809,,,,,,,,151176,10.1016/j.scitotenv.2021.151176,http://dx.doi.org/10.1016/j.scitotenv.2021.151176,,JAN 2022,,,,,,34699835,,,,,WOS:000755050800011,View Full Record in Web of Science
J,"Hammerman, NM; Rodriguez-Ramirez, A; Staples, TL; DeCarlo, TM; Saderne, V; Roff, G; Leonard, N; Zhao, JX; Rossbach, S; Havlik, MN; Duarte, CM; Pandolfi, JM",,,,"Hammerman, Nicholas M.; Rodriguez-Ramirez, Alberto; Staples, Timothy L.; DeCarlo, Thomas M.; Saderne, Vincent; Roff, George; Leonard, Nicole; Zhao, Jian-xin; Rossbach, Susann; Havlik, Michelle N.; Duarte, Carlos M.; Pandolfi, John M.",,,Variable response of Red Sea coral communities to recent disturbance events along a latitudinal gradient,MARINE BIOLOGY,,,,,,,,,,,,,,,,,"Duarte, Carlos M/A-7670-2013; Staples, Tim/AEI-0009-2022","Duarte, Carlos M/0000-0002-1213-1361; saderne, vincent/0000-0003-3968-2718; Staples, Timothy/0000-0002-8550-2661",,,,,,,,,,,,,0025-3162,1432-1793,,,,DEC,2021,168,12,,,,,,,177,10.1007/s00227-021-03984-y,http://dx.doi.org/10.1007/s00227-021-03984-y,,,,,,,,,,,,,WOS:000717496600001,View Full Record in Web of Science
J,"Meiklejohn, NA; Staples, TL; Fensham, R",,,,"Meiklejohn, Natalie A.; Staples, Timothy L.; Fensham, Rod J.",,,Modelling climatic suitability for myrtle rust with a widespread host species,BIOLOGICAL INVASIONS,,,,,,,,,,,,,,,,,"Staples, Tim/AEI-0009-2022","Staples, Timothy/0000-0002-8550-2661; Meiklejohn, Natalie/0000-0001-5208-1461",,,,,,,,,,,,,1387-3547,1573-1464,,,,MAR,2022,24,3,,,,,831,844,,10.1007/s10530-021-02689-z,http://dx.doi.org/10.1007/s10530-021-02689-z,,NOV 2021,,,,,,,,,,,WOS:000724062200002,View Full Record in Web of Science
J,"Falster, D; Gallagher, R; Wenk, EH; Wright, IJ; Indiarto, D; Andrew, SC; Baxter, C; Lawson, J; Allen, S; Fuchs, A; Monro, A; Kar, F; Adams, MA; Ahrens, CW; Alfonzetti, M; Angevin, T; Apgaua, DMG; Arndt, S; Atkin, OK; Atkinson, J; Auld, T; Baker, A; von Balthazar, M; Bean, A; Blackman, CJ; Bloomfeld, K; Bowman, DMJS; Bragg, J; Brodribb, TJ; Buckton, G; Burrows, G; Caldwell, E; Camac, J; Carpenter, R; Catford, J; Cawthray, GR; Cernusak, LA; Chandler, G; Chapman, AR; Cheal, D; Cheesman, AW; Chen, SC; Choat, B; Clinton, B; Clode, PL; Coleman, H; Cornwell, WK; Cosgrove, M; Crisp, M; Cross, E; Crous, KY; Cunningham, S; Curran, T; Curtis, E; Daws, MI; DeGabriel, JL; Denton, MD; Dong, N; Du, PZ; Duan, HL; Duncan, DH; Duncan, RP; Duretto, M; Dwyer, JM; Edwards, C; Esperon-Rodriguez, M; Evans, JR; Everingham, SE; Farrell, C; Firn, J; Fonseca, CR; French, B; Frood, D; Funk, JL; Geange, SR; Ghannoum, O; Gleason, SM; Gosper, CR; Gray, E; Groom, PK; Grootemaat, S; Gross, C; Guerin, G; Guja, L; Hahs, AK; Harrison, MT; Hayes, PE; Henery, M; Hochuli, D; Howell, J; Huang, G; Hughes, L; Huisman, J; Ilic, J; Jagdish, A; Jin, D; Jordan, G; Jurado, E; Kanowski, J; Kasel, S; Kellermann, J; Kenny, B; Kohout, M; Kooyman, RM; Kotowska, MM; Lai, HR; Laliberte, E; Lambers, H; Lamont, BB; Lanfear, R; van Langevelde, F; Laughlin, DC; Laugier-kitchener, BA; Laurance, S; Lehmann, CER; Leigh, A; Leishman, MR; Lenz, T; Lepschi, B; Lewis, JD; Lim, F; Liu, U; Lord, J; Lusk, CH; Macinnis-Ng, C; McPherson, H; Magallon, S; Manea, A; Lopez-Martinez, A; Mayfeld, M; McCarthy, JK; Meers, T; van der Merwe, M; Metcalfe, DJ; Milberg, P; Mokany, K; Moles, AT; Moore, BD; Moore, N; Morgan, JW; Morris, W; Muir, A; Munroe, S; Nicholson, A; Nicolle, D; Nicotra, AB; Niinemets, U; North, T; O'Reilly-Nugent, A; O'Sullivan, OS; Oberle, B; Onoda, Y; Ooi, MKJ; Osborne, CP; Paczkowska, G; Pekin, B; Pereira, CG; Pickering, C; Pickup, M; Pollock, LJ; Poot, P; Powell, JR; Power, S; Prentice, IC; Prior, L; Prober, SM; Read, J; Reynolds, V; Richards, AE; Richardson, B; Roderick, ML; Rosell, JA; Rossetto, M; Rye, B; Rymer, PD; Sams, M; Sanson, G; Sauquet, H; Schmidt, S; Schonenberger, J; Schulze, ED; Sendall, K; Sinclair, S; Smith, B; Smith, R; Soper, F; Sparrow, B; Standish, RJ; Staples, TL; Stephens, R; Szota, C; Taseski, G; Tasker, E; Thomas, F; Tissue, DT; Tjoelker, MG; Tng, DYP; de Tombeur, F; Tomlinson, K; Turner, NC; Veneklaas, EJ; Venn, S; Vesk, P; Vlasveld, C; Vorontsova, MS; Warren, CA; Warwick, N; Weerasinghe, LK; Wells, J; Westoby, M; White, M; Williams, NSG; Wills, J; Wilson, PG; Yates, C; Zanne, AE; Zemunik, G; Zieminska, K",,,,"Falster, Daniel; Gallagher, Rachael; Wenk, Elizabeth H.; Wright, Ian J.; Indiarto, Dony; Staples, Timothy L.",,,"AusTraits, a curated plant trait database for the Australian flora",SCIENTIFIC DATA,,,,,,,,,,,,,,,,,"Poot, Pieter/B-3457-2011; Andrew, Samuel/J-6739-2019; Lehmann, Caroline/ABD-5258-2021; Funk, Jennifer/AAL-6185-2021; de Tombeur, Félix/AAU-1582-2020; Mokany, Karel/C-1464-2009; Schönenberger, Jürg/D-3413-2014; Cheesman, Alexander/H-5918-2013; Cunningham, Saul A/B-9947-2009; Sparrow, Ben/O-9308-2016; Tjoelker, Mark G/M-2413-2016; Niinemets, Ülo/A-3816-2008; Kotowska, Martyna/I-8152-2019; Veneklaas, Erik J/C-8907-2009; Rosell, Julieta/AAR-5792-2020; Atkin, Owen/C-8415-2009; Schulze, Ernst-Detlef/K-9627-2014; Dong, Ning/HTP-7810-2023; Falster, Daniel/AFP-7008-2022; Cernusak, Lucas/A-6859-2011; Standish, Rachel J/B-1028-2011; Kenny, Belinda/AGH-0869-2022; Smith, Benjamin/I-1212-2016; Laughlin, Daniel C/G-8855-2012; Huang, Guomin/J-2105-2014; Hayes, Patrick E./D-4679-2014; Denton, Matthew D/D-9697-2011; Apgaua, Deborah M G/C-5410-2017; adams, mark a/H-1303-2012; Pekin, Burak K/S-1809-2017; Choat, Brendan/C-8445-2009; Powell, Jeff R/A-5076-2010; Esperon-Rodriguez, Manuel/H-3668-2019; Staples, Tim/AEI-0009-2022; Gosper, Carl/C-1206-2008; Weerasinghe, Lasantha/IAR-3698-2023; Kasel, Sabine/AFQ-7971-2022; Roderick, Michael L/C-9621-2009; Everingham, Susan/AAF-3830-2021; Williams, Nicholas SG/H-3408-2015; Jordan, Gregory/B-3932-2013; Curran, Timothy J/D-6602-2018; Guja, Lydia K/M-6995-2013; Dwyer, John M./O-5579-2017; Moore, Ben D/C-3447-2008; Turner, Neil/B-2689-2010; Lambers, Hans/A-1544-2008; Atkinson, Joe/AAF-7454-2021; Lanfear, Robert/A-2022-2010; Fonseca, Carlos Roberto/V-5869-2017; Duncan, David H./H-2000-2013; Clode, Peta L/C-4482-2011; Leigh, Andy/F-2043-2017; Guilherme Pereira, Caio/N-7305-2019; Blackman, Chris/HNS-6323-2023; Lai, Hao Ran/B-8972-2016; Warren, Charles R/A-6013-2011; Guerin, Greg R./R-8955-2019; Arndt, Stefan K/G-5021-2013; Nicotra, Adrienne/C-1361-2009; Prober, Suzanne/G-6465-2010; Ooi, Mark/A-4779-2012; Bowman, David/A-2930-2011; Laliberte, Etienne/B-6855-2008; Tng, David/J-3156-2015; Wells, Jessie/F-7318-2010; Duncan, Richard/E-7899-2013; Bragg, Jason/R-5611-2016; Catford, Jane/B-9578-2012; McCarthy, James/E-9801-2010; Wright, Ian/G-4979-2012; Prior, Lynda/A-7460-2012; Leishman, Michelle/G-9726-2012; Kooyman, Robert/H-3347-2017","Andrew, Samuel/0000-0003-4589-2746; Funk, Jennifer/0000-0002-1916-5513; de Tombeur, Félix/0000-0002-6012-8458; Schönenberger, Jürg/0000-0001-6791-2731; Cheesman, Alexander/0000-0003-3931-5766; Cunningham, Saul A/0000-0003-0703-6893; Sparrow, Ben/0000-0003-2566-1895; Tjoelker, Mark G/0000-0003-4607-5238; Niinemets, Ülo/0000-0002-3078-2192; Kotowska, Martyna/0000-0002-2283-5979; Veneklaas, Erik J/0000-0002-7030-4056; Rosell, Julieta/0000-0001-5741-8027; Atkin, Owen/0000-0003-1041-5202; Schulze, Ernst-Detlef/0000-0001-6188-9219; Falster, Daniel/0000-0002-9814-092X; Cernusak, Lucas/0000-0002-7575-5526; Smith, Benjamin/0000-0002-6987-5337; Huang, Guomin/0000-0002-7597-9386; Hayes, Patrick E./0000-0001-7554-4588; Denton, Matthew D/0000-0002-2804-0384; Apgaua, Deborah M G/0000-0002-6303-6989; adams, mark a/0000-0002-8154-0097; Pekin, Burak K/0000-0002-4797-6962; Choat, Brendan/0000-0002-9105-640X; Powell, Jeff R/0000-0003-1091-2452; Esperon-Rodriguez, Manuel/0000-0003-3649-2134; Gosper, Carl/0000-0002-0962-5117; Weerasinghe, Lasantha/0000-0002-5173-8000; Roderick, Michael L/0000-0002-3630-7739; Everingham, Susan/0000-0002-4780-2700; Williams, Nicholas SG/0000-0001-6291-9483; Jordan, Gregory/0000-0002-6033-2766; Curran, Timothy J/0000-0001-8817-4360; Guja, Lydia K/0000-0001-5945-438X; Dwyer, John M./0000-0001-7389-5528; Moore, Ben D/0000-0002-6995-4721; Turner, Neil/0000-0002-2982-0411; Lambers, Hans/0000-0002-4118-2272; Atkinson, Joe/0000-0001-9232-4421; Lanfear, Robert/0000-0002-1140-2596; Fonseca, Carlos Roberto/0000-0003-0292-0399; Duncan, David H./0000-0003-4411-8214; Leigh, Andy/0000-0003-3568-2606; Guilherme Pereira, Caio/0000-0003-3288-8553; Lai, Hao Ran/0000-0001-6871-0146; Warren, Charles R/0000-0002-0788-4713; Arndt, Stefan K/0000-0001-7086-9375; Nicotra, Adrienne/0000-0001-6578-369X; Prober, Suzanne/0000-0002-6518-239X; Ooi, Mark/0000-0002-3046-0417; Daws, Matthew/0000-0002-9120-4724; Stephens, Ruby E/0000-0002-3767-2690; Bowman, David/0000-0001-8075-124X; Laliberte, Etienne/0000-0002-3167-2622; Indiarto, Dony/0000-0001-9546-8201; Kanowski, John/0009-0009-7025-4456; Laugier, Bree/0000-0002-5347-1055; Lim, Felix/0000-0003-1227-460X; Tng, David/0000-0001-5135-0922; Wells, Jessie/0000-0002-3555-5108; Geange, Sonya/0000-0001-5344-7234; Munroe, Samantha/0000-0001-7827-1028; Duncan, Richard/0000-0003-2295-449X; Cawthray, Gregory/0000-0003-1150-6675; Pickering, Catherine/0000-0002-3731-5407; Hughes, Lesley/0000-0003-0313-9780; Bragg, Jason/0000-0002-7621-7295; Reynolds, Victoria/0000-0002-6071-9303; Catford, Jane/0000-0003-0582-5960; Richards, Anna/0000-0002-2934-5497; Clode, Peta/0000-0002-5188-4737; Gross, Caroline/0000-0001-8014-1548; Alfonzetti, Matthew/0000-0002-0064-6368; Poot, Pieter/0000-0001-7721-0696; Gallagher, Rachael/0000-0002-4680-8115; Ghannoum, Oula/0000-0002-1341-0741; Staples, Timothy/0000-0002-8550-2661; McCarthy, James/0000-0003-3060-1678; Wright, Ian/0000-0001-8338-9143; Standish, Rachel/0000-0001-8118-1904; Prior, Lynda/0000-0002-5511-2320; Baker, Andrew G/0000-0002-0658-3767; Leishman, Michelle/0000-0003-4830-5797; Warwick, Nigel/0000-0001-7009-3183; Manea, Anthony/0000-0002-0956-4529; Kooyman, Robert/0000-0003-1985-9547; Rymer, Paul/0000-0003-0988-4351; Wenk, Elizabeth/0000-0001-5640-5910; Jurado, Enrique/0000-0002-4043-5549; Westoby, Mark/0000-0001-7690-4530",,,,,,,,,,,,,,2052-4463,,,,SEP 30,2021,8,1,,,,,,,254,10.1038/s41597-021-01006-6,http://dx.doi.org/10.1038/s41597-021-01006-6,,,,,,,,34593819,,,,,WOS:000702376400002,View Full Record in Web of Science
J,"Sims, CA; Sampayo, EM; Mayfield, MM; Staples, TL; Dalton, SJ; Gutierrez-Isaza, N; Pandolfi, JM",,,,"Sims, Carrie A.; Sampayo, Eugenia M.; Mayfield, Margaret M.; Staples, Timothy L.; Dalton, Steven J.; Gutierrez-Isaza, Nataly; Pandolfi, John M.",,,Janzen-Connell effects partially supported in reef-building corals: adult presence interacts with settler density to limit establishment,OIKOS,,,,,,,,,,,,,,,,,"Staples, Tim/AEI-0009-2022; Mayfield, Margaret M/B-7386-2012; Mayfield, Margaret Morrow/GLT-4023-2022; Pandolfi, John/A-3121-2009","Mayfield, Margaret M/0000-0002-5101-6542; Pandolfi, John/0000-0003-3047-6694; Sampayo, Eugenia M/0000-0001-9244-3754; Sims, Carrie/0000-0001-7070-7843; Staples, Timothy/0000-0002-8550-2661",,,,,,,,,,,,,0030-1299,1600-0706,,,,AUG,2021,130,8,,,,,1310,1325,,10.1111/oik.08110,http://dx.doi.org/10.1111/oik.08110,,JUN 2021,,,,,,,,,,,WOS:000664476600001,View Full Record in Web of Science
J,"Pandolfi, JM; Staples, TL; Kiessling, W",,,,"Pandolfi, John M.; Staples, Timothy L.; Kiessling, Wolfgang",,,Increased extinction in the emergence of novel ecological communities,SCIENCE,,,,,,,,,,,,,,,,,"Staples, Tim/AEI-0009-2022; Kiessling, Wolfgang/E-2259-2015; Pandolfi, John/A-3121-2009","Kiessling, Wolfgang/0000-0002-1088-2014; Pandolfi, John/0000-0003-3047-6694; Staples, Timothy/0000-0002-8550-2661",,,,,,,,,,,,,0036-8075,1095-9203,,,,OCT 9,2020,370,6513,,,,,220,+,,10.1126/science.abb3996,http://dx.doi.org/10.1126/science.abb3996,,,,,,,,33033218,,,,,WOS:000579173800046,View Full Record in Web of Science
